frame,time,rc0,rc1,rc2,rc4,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,angvel_x,angvel_y,angvel_z,motorOut_1,motorOut_2,motorOut_3,motorOut_4
8200,0,0,0,0.3,0,1.51335e-05,2.0043,-3.43952e-05,-0.00105659,0.000685903,-0.000461383,0.999999,0.000651597,0.349166,-0.00146315,-0.0147278,0.00781345,-0.014681,0.214,0.344,0.248,0.334
8201,0,0,0,0.3,0,1.58007e-05,2.00466,-3.58939e-05,-0.00106486,0.000689757,-0.000469452,0.999999,0.00066715,0.356116,-0.00149869,-0.0180469,0.00783852,-0.0171764,0.376,0.256,0.324,0.184
8202,0,0,0,0.3,0,1.64836e-05,2.00502,-3.74285e-05,-0.00107459,0.000693777,-0.000478559,0.999999,0.000682988,0.363065,-0.00153452,-0.0203391,0.00798691,-0.0189301,0.28,0.286,0.306,0.268
8203,0,0,0,0.3,0,1.71828e-05,2.00539,-3.89991e-05,-0.00108533,0.000697648,-0.000488451,0.999999,0.000699141,0.370011,-0.00157069,-0.0225153,0.00767671,-0.0203864,0.28,0.33,0.256,0.274
8204,0,0,0,0.3,0,1.78984e-05,2.00577,-4.06064e-05,-0.00109718,0.000701665,-0.000498882,0.999999,0.000715632,0.376956,-0.00160724,-0.0243832,0.00825005,-0.0210687,0.368,0.228,0.36,0.182
8205,0,0,0,0.3,0,1.86309e-05,2.00615,-4.22506e-05,-0.00110957,0.000705702,-0.000509451,0.999999,0.000732472,0.383899,-0.00164418,-0.0251666,0.00781619,-0.0211347,0.214,0.352,0.24,0.334
8206,0,0,0,0.3,0,1.93806e-05,2.00654,-4.39321e-05,-0.00112254,0.000709625,-0.000519919,0.999999,0.000749662,0.390838,-0.00168154,-0.0264636,0.00799582,-0.0206142,0.4,0.224,0.358,0.158
8207,0,0,0,0.3,0,2.01477e-05,2.00694,-4.56514e-05,-0.0011358,0.000713571,-0.00052986,0.999999,0.000767193,0.397775,-0.00171934,-0.0264255,0.00754916,-0.0192332,0.234,0.312,0.28,0.312
8208,0,0,0,0.3,0,2.09328e-05,2.00735,-4.7409e-05,-0.00114904,0.00071712,-0.000539046,0.999999,0.000785042,0.404709,-0.00175757,-0.0266766,0.00693125,-0.0176284,0.324,0.29,0.292,0.232
8209,0,0,0,0.3,0,2.1736e-05,2.00776,-4.92052e-05,-0.00116231,0.000720626,-0.000547268,0.999999,0.000803181,0.411639,-0.00179624,-0.0261296,0.00694281,-0.0154248,0.322,0.25,0.34,0.228
8210,0,0,0,0.3,0,2.25575e-05,2.00818,-5.10406e-05,-0.00117499,0.000723876,-0.000554344,0.999999,0.000821575,0.418567,-0.00183534,-0.0249263,0.00619065,-0.0131734,0.23,0.348,0.24,0.322
8211,0,0,0,0.3,0,2.33977e-05,2.0086,-5.29154e-05,-0.00118723,0.000727019,-0.00056028,0.999999,0.000840185,0.425491,-0.00187485,-0.0239402,0.00643532,-0.0107628,0.388,0.216,0.368,0.168
8212,0,0,0,0.3,0,2.42567e-05,2.00903,-5.48302e-05,-0.00119859,0.000730128,-0.000564917,0.999999,0.000858972,0.432412,-0.00191475,-0.0217586,0.00587798,-0.00813199,0.204,0.342,0.252,0.342
8213,0,0,0,0.3,0,2.51346e-05,2.00947,-5.67852e-05,-0.00120906,0.000732958,-0.000568303,0.999999,0.000877891,0.43933,-0.00195501,-0.0204081,0.00571223,-0.00567513,0.364,0.254,0.328,0.194
8214,0,0,0,0.3,0,2.60315e-05,2.00992,-5.87808e-05,-0.00121873,0.000735832,-0.000570389,0.999999,0.000896901,0.446246,-0.0019956,-0.0183173,0.0055643,-0.00298881,0.268,0.282,0.312,0.278
